ccaa,complete_80,pop_80,perc_80,complete_70,pop_70,perc_70,complete_60,perc_60,complete_50,pop_50,perc_50,complete_25,pop_25,perc_25,complete_18,pop_18,perc_18,complete_16,pop_16,perc_16,complete_total,pop_total,perc_total,fecha
"Andalucía","414.191","413.516","100,2%","401.281","916.147","61,7%","56.884","6,2%","81.727","1.265.021","6,5%","150.829","3.009.381","5,0%","14.510","625.846","2,3%","278","181.921","0,2%","1.119.700","7.062.213","15,9%","2021-05-11T22:00:00.000Z"
"Andalucía","414.717","413.516","100,3%","423.734","916.147","65,2%","57.322","6,3%","82.315","1.265.021","6,5%","151.702","3.009.381","5,0%","14.591","625.846","2,3%","289","181.921","0,2%","1.144.670","7.062.213","16,2%","2021-05-12T22:00:00.000Z"
"Andalucía","415.470","413.516","100,5%","459.586","916.147","70,7%","58.010","6,3%","83.239","1.265.021","6,6%","152.914","3.009.381","5,1%","14.690","625.846","2,3%","299","181.921","0,2%","1.184.208","7.062.213","16,8%","2021-05-13T22:00:00.000Z"
"Andalucía","416.031","413.516","100,6%","498.533","916.147","76,7%","60.030","6,6%","84.859","1.265.021","6,7%","155.114","3.009.381","5,2%","14.890","625.846","2,4%","310","181.921","0,2%","1.229.767","7.062.213","17,4%","2021-05-16T22:00:00.000Z"
"Andalucía","416.358","413.516","100,0%","513.032","916.147","78,9%","62.957","6,9%","85.944","1.265.021","6,8%","156.291","3.009.381","5,2%","14.976","625.846","2,4%","315","181.921","0,2%","1.249.873","7.062.213","17,7%","2021-05-17T22:00:00.000Z"
"Andalucía","416.829","413.516","100,0%","528.779","916.147","81,3%","67.683","7,4%","86.926","1.265.021","6,9%","157.042","3.009.381","5,2%","15.078","625.846","2,4%","318","181.921","0,2%","1.272.655","7.062.213","18,0%","2021-05-18T22:00:00.000Z"
"Andalucía","417.254","413.516","100,0%","544.203","916.147","83,7%","73.417","8,0%","87.945","1.265.021","7,0%","158.029","3.009.381","5,3%","15.293","625.846","2,4%","329","181.921","0,2%","1.296.470","7.062.213","18,4%","2021-05-19T22:00:00.000Z"
"Andalucía","417.686","413.516","100,0%","558.376","916.147","85,9%","85.348","9,3%","88.701","1.265.021","7,0%","158.970","3.009.381","5,3%","15.429","625.846","2,5%","338","181.921","0,2%","1.324.848","7.062.213","18,8%","2021-05-20T22:00:00.000Z"
"Andalucía","418.310","413.516","100,0%","572.226","916.147","88,0%","100.466","11,0%","89.909","1.265.021","7,1%","159.996","3.009.381","5,3%","15.541","625.846","2,5%","350","181.921","0,2%","1.356.798","7.062.213","19,2%","2021-05-23T22:00:00.000Z"
"Andalucía","418.533","413.516","100,0%","578.031","916.147","88,9%","111.780","12,2%","91.824","1.265.021","7,3%","160.699","3.009.381","5,3%","15.632","625.846","2,5%","353","181.921","0,2%","1.376.852","7.062.213","19,5%","2021-05-24T22:00:00.000Z"
"Andalucía","418.884","413.516","100,0%","585.829","916.147","90,1%","129.483","14,1%","94.669","1.265.021","7,5%","162.036","3.009.381","5,4%","15.781","625.846","2,5%","353","181.921","0,2%","1.407.035","7.062.213","19,9%","2021-05-25T22:00:00.000Z"
"Andalucía","419.200","413.516","100,0%","593.603","916.147","91,3%","144.862","15,8%","102.820","1.265.021","8,1%","169.782","3.009.381","5,6%","16.079","625.846","2,6%","361","181.921","0,2%","1.446.707","7.062.213","20,5%","2021-05-26T22:00:00.000Z"
"Andalucía","419.589","413.516","100,0%","601.196","916.147","92,4%","161.603","17,6%","116.544","1.265.021","9,2%","179.570","3.009.381","6,0%","16.825","625.846","2,7%","369","181.921","0,2%","1.495.696","7.062.213","21,2%","2021-05-27T22:00:00.000Z"
"Andalucía","419.993","413.516","100,0%","608.186","916.147","93,5%","175.418","19,1%","140.817","1.265.021","11,1%","202.778","3.009.381","6,7%","17.751","625.846","2,8%","385","181.921","0,2%","1.565.328","7.062.213","22,2%","2021-05-30T22:00:00.000Z"
"Andalucía","420.177","413.516","100,0%","610.970","916.147","93,9%","180.527","19,7%","160.543","1.265.021","12,7%","215.892","3.009.381","7,2%","18.410","625.846","2,9%","390","181.921","0,2%","1.606.909","7.062.213","22,8%","2021-05-31T22:00:00.000Z"
"Andalucía","420.361","413.516","100,0%","613.747","916.147","94,4%","185.213","20,2%","193.849","1.265.021","15,3%","230.845","3.009.381","7,7%","19.272","625.846","3,1%","394","181.921","0,2%","1.663.681","7.062.213","23,6%","2021-06-01T22:00:00.000Z"
"Andalucía","420.613","413.516","100,0%","616.319","916.147","94,8%","189.229","20,7%","233.350","1.265.021","18,4%","245.675","3.009.381","8,2%","19.904","625.846","3,2%","402","181.921","0,2%","1.725.492","7.062.213","24,4%","2021-06-02T22:00:00.000Z"
"Andalucía","430.059","100,0%","640.350","98,5%","76,2%","90,9%","964.535","236.315","17,1%","192.971","11,9%","40.121","6,4%","559","0,3%","3.337.630","7.062.213","47,3%",,,,,,"2021-06-03T22:00:00.000Z"
"Aragón","40.245","98.807","40,7%","3.048","156.367","2,6%","9.273","5,9%","13.854","198.266","7,0%","21.412","446.083","4,8%","1.421","89.180","1,6%","25","25.106","0,1%","89.278","1.132.764","7,9%","2021-03-30T22:00:00.000Z"
"Aragón","44.314","98.807","44,8%","3.135","156.367","2,6%","9.329","6,0%","13.907","198.266","7,0%","21.487","446.083","4,8%","1.430","89.180","1,6%","25","25.106","0,1%","93.627","1.132.764","8,3%","2021-03-31T22:00:00.000Z"
"Aragón","47.289","98.807","47,9%","3.171","156.367","2,7%","9.378","6,0%","13.951","198.266","7,0%","21.543","446.083","4,8%","1.435","89.180","1,6%","25","25.106","0,1%","96.792","1.132.764","8,5%","2021-04-02T22:00:00.000Z"
"Aragón","47.308","98.807","47,9%","3.171","156.367","2,7%","9.378","6,0%","13.951","198.266","7,0%","21.543","446.083","4,8%","1.436","89.180","1,6%","25","25.106","0,1%","96.812","1.132.764","8,5%","2021-04-04T22:00:00.000Z"
"Aragón","47.379","98.807","48,0%","3.174","156.367","2,7%","9.384","6,0%","13.957","198.266","7,0%","21.549","446.083","4,8%","1.437","89.180","1,6%","25","25.106","0,1%","96.905","1.132.764","8,6%","2021-04-05T22:00:00.000Z"
"Aragón","48.140","98.807","48,7%","3.203","156.367","2,7%","9.433","6,0%","14.018","198.266","7,1%","21.626","446.083","4,8%","1.445","89.180","1,6%","25","25.106","0,1%","97.890","1.132.764","8,6%","2021-04-06T22:00:00.000Z"
"Aragón","50.076","98.807","50,7%","3.250","156.367","2,7%","9.498","6,1%","14.067","198.266","7,1%","21.680","446.083","4,9%","1.450","89.180","1,6%","25","25.106","0,1%","100.046","1.132.764","8,8%","2021-04-07T22:00:00.000Z"
"Aragón","51.553","98.807","52,2%","3.290","156.367","2,8%","9.526","6,1%","14.094","198.266","7,1%","21.728","446.083","4,9%","1.455","89.180","1,6%","25","25.106","0,1%","101.671","1.132.764","9,0%","2021-04-08T22:00:00.000Z"
"Aragón","51.967","98.807","52,6%","3.306","156.367","2,8%","9.539","6,1%","14.109","198.266","7,1%","21.750","446.083","4,9%","1.456","89.180","1,6%","25","25.106","0,1%","102.152","1.132.764","9,0%","2021-04-11T22:00:00.000Z"
"Aragón","51.967","98.807","52,6%","3.306","156.367","2,8%","9.540","6,1%","14.115","198.266","7,1%","21.754","446.083","4,9%","1.457","89.180","1,6%","25","25.106","0,1%","102.164","1.132.764","9,0%","2021-04-12T22:00:00.000Z"
"Aragón","52.638","98.807","53,3%","3.315","156.367","2,8%","9.550","6,1%","14.124","198.266","7,1%","21.763","446.083","4,9%","1.457","89.180","1,6%","25","25.106","0,1%","102.872","1.132.764","9,1%","2021-04-13T22:00:00.000Z"
"Aragón","54.086","98.807","54,7%","3.327","156.367","2,8%","9.588","6,1%","14.158","198.266","7,1%","21.822","446.083","4,9%","1.460","89.180","1,6%","25","25.106","0,1%","104.466","1.132.764","9,2%","2021-04-14T22:00:00.000Z"
"Aragón","57.299","98.807","58,0%","3.377","156.367","2,8%","9.637","6,2%","14.200","198.266","7,2%","21.867","446.083","4,9%","1.464","89.180","1,6%","25","25.106","0,1%","107.869","1.132.764","9,5%","2021-04-15T22:00:00.000Z"
"Aragón","60.842","98.807","61,6%","3.407","156.367","2,9%","9.658","6,2%","14.232","198.266","7,2%","21.898","446.083","4,9%","1.468","89.180","1,6%","26","25.106","0,1%","111.531","1.132.764","9,8%","2021-04-18T22:00:00.000Z"
"Aragón","61.469","98.807","62,2%","3.417","156.367","2,9%","9.662","6,2%","14.234","198.266","7,2%","21.901","446.083","4,9%","1.468","89.180","1,6%","26","25.106","0,1%","112.177","1.132.764","9,9%","2021-04-19T22:00:00.000Z"
"Aragón","64.724","98.807","65,5%","3.493","156.367","2,9%","9.690","6,2%","14.244","198.266","7,2%","21.924","446.083","4,9%","1.468","89.180","1,6%","27","25.106","0,1%","115.570","1.132.764","10,2%","2021-04-20T22:00:00.000Z"
"Aragón","68.653","98.807","69,5%","3.605","156.367","3,0%","9.735","6,2%","14.281","198.266","7,2%","21.990","446.083","4,9%","1.477","89.180","1,7%","27","25.106","0,1%","119.768","1.132.764","10,6%","2021-04-21T22:00:00.000Z"
"Aragón","72.208","98.807","73,1%","3.649","156.367","3,1%","9.753","6,2%","14.282","198.266","7,2%","22.002","446.083","4,9%","1.478","89.180","1,7%","27","25.106","0,1%","123.399","1.132.764","10,9%","2021-04-22T22:00:00.000Z"
"Aragón","72.744","98.807","73,6%","4.908","156.367","4,1%","12.561","8,0%","14.295","198.266","7,2%","22.011","446.083","4,9%","1.478","89.180","1,7%","27","25.106","0,1%","128.024","1.132.764","11,3%","2021-04-25T22:00:00.000Z"
"Aragón","73.541","98.807","74,4%","4.920","156.367","4,1%","12.572","8,0%","14.300","198.266","7,2%","22.013","446.083","4,9%","1.478","89.180","1,7%","27","25.106","0,1%","128.851","1.132.764","11,4%","2021-04-26T22:00:00.000Z"
"Aragón","76.440","98.807","77,4%","5.099","156.367","4,3%","12.635","8,1%","14.317","198.266","7,2%","22.041","446.083","4,9%","1.480","89.180","1,7%","27","25.106","0,1%","132.039","1.132.764","11,7%","2021-04-27T22:00:00.000Z"
"Aragón","84.700","98.807","85,7%","5.954","156.367","5,0%","12.754","8,2%","14.357","198.266","7,2%","22.125","446.083","5,0%","1.490","89.180","1,7%","27","25.106","0,1%","141.407","1.132.764","12,5%","2021-04-28T22:00:00.000Z"
"Aragón","92.050","98.807","93,2%","7.698","156.367","6,5%","12.920","8,3%","14.396","198.266","7,3%","22.185","446.083","5,0%","1.496","89.180","1,7%","28","25.106","0,1%","150.773","1.132.764","13,3%","2021-04-29T22:00:00.000Z"
"Aragón","94.483","98.807","95,6%","11.027","156.367","9,3%","15.705","10,0%","14.424","198.266","7,3%","22.223","446.083","5,0%","1.500","89.180","1,7%","28","25.106","0,1%","159.390","1.132.764","14,1%","2021-05-02T22:00:00.000Z"
"Aragón","94.574","98.807","95,7%","11.164","156.367","9,4%","16.194","10,4%","14.436","198.266","7,3%","22.226","446.083","5,0%","1.500","89.180","1,7%","28","25.106","0,1%","160.122","1.132.764","14,1%","2021-05-03T22:00:00.000Z"
"Aragón","94.901","98.807","96,0%","15.120","156.367","12,7%","16.243","10,4%","14.457","198.266","7,3%","22.254","446.083","5,0%","1.500","89.180","1,7%","28","25.106","0,1%","164.503","1.132.764","14,5%","2021-05-04T22:00:00.000Z"
"Aragón","95.493","98.807","96,6%","31.054","156.367","26,1%","16.393","10,5%","14.549","198.266","7,3%","22.330","446.083","5,0%","1.510","89.180","1,7%","28","25.106","0,1%","181.357","1.132.764","16,0%","2021-05-05T22:00:00.000Z"
"Aragón","95.922","98.807","97,1%","46.036","156.367","38,7%","16.602","10,6%","14.650","198.266","7,4%","22.441","446.083","5,0%","1.520","89.180","1,7%","28","25.106","0,1%","197.199","1.132.764","17,4%","2021-05-06T22:00:00.000Z"
"Aragón","96.566","98.807","97,7%","53.076","156.367","44,6%","16.772","10,7%","14.746","198.266","7,4%","22.526","446.083","5,0%","1.526","89.180","1,7%","28","25.106","0,1%","205.240","1.132.764","18,1%","2021-05-09T22:00:00.000Z"
"Aragón","96.580","98.807","97,7%","53.537","156.367","45,0%","16.804","10,7%","14.753","198.266","7,4%","22.538","446.083","5,1%","1.527","89.180","1,7%","28","25.106","0,1%","205.767","1.132.764","18,2%","2021-05-10T22:00:00.000Z"
"Aragón","96.731","98.807","97,9%","60.133","156.367","50,6%","16.901","10,8%","14.828","198.266","7,5%","22.660","446.083","5,1%","1.551","89.180","1,7%","28","25.106","0,1%","212.832","1.132.764","18,8%","2021-05-11T22:00:00.000Z"
"Aragón","97.122","98.807","98,3%","73.682","156.367","61,9%","17.133","11,0%","14.930","198.266","7,5%","22.777","446.083","5,1%","1.561","89.180","1,8%","29","25.106","0,1%","227.234","1.132.764","20,1%","2021-05-12T22:00:00.000Z"
"Aragón","97.333","98.807","98,5%","86.535","156.367","72,7%","17.639","11,3%","15.013","198.266","7,6%","22.870","446.083","5,1%","1.562","89.180","1,8%","31","25.106","0,1%","240.983","1.132.764","21,3%","2021-05-13T22:00:00.000Z"
"Aragón","97.380","98.807","98,6%","86.785","156.367","73,0%","17.858","11,4%","15.174","198.266","7,7%","23.035","446.083","5,2%","1.567","89.180","1,8%","31","25.106","0,1%","241.830","1.132.764","21,3%","2021-05-16T22:00:00.000Z"
"Aragón","97.389","98.807","98,6%","87.407","156.367","73,5%","18.382","11,8%","15.287","198.266","7,7%","23.085","446.083","5,2%","1.568","89.180","1,8%","31","25.106","0,1%","243.149","1.132.764","21,5%","2021-05-17T22:00:00.000Z"
"Aragón","97.453","98.807","98,6%","91.169","156.367","76,6%","19.803","12,7%","15.468","198.266","7,8%","23.268","446.083","5,2%","1.582","89.180","1,8%","31","25.106","0,1%","248.774","1.132.764","22,0%","2021-05-18T22:00:00.000Z"
"Aragón","97.597","98.807","98,8%","97.515","156.367","82,0%","23.693","15,2%","15.748","198.266","7,9%","23.505","446.083","5,3%","1.594","89.180","1,8%","31","25.106","0,1%","259.683","1.132.764","22,9%","2021-05-19T22:00:00.000Z"
"Aragón","97.714","98.807","98,9%","102.637","156.367","86,3%","29.003","18,5%","15.983","198.266","8,1%","23.691","446.083","5,3%","1.609","89.180","1,8%","31","25.106","0,1%","270.668","1.132.764","23,9%","2021-05-20T22:00:00.000Z"
"Aragón","97.786","98.807","99,0%","105.615","156.367","88,8%","32.252","20,6%","16.214","198.266","8,2%","24.087","446.083","5,4%","1.634","89.180","1,8%","31","25.106","0,1%","277.619","1.132.764","24,5%","2021-05-23T22:00:00.000Z"
"Aragón","97.800","98.807","99,0%","105.726","156.367","88,9%","32.400","20,7%","16.302","198.266","8,2%","24.205","446.083","5,4%","1.648","89.180","1,8%","31","25.106","0,1%","278.112","1.132.764","24,6%","2021-05-24T22:00:00.000Z"
"Aragón","97.847","98.807","99,0%","107.844","156.367","90,7%","33.459","21,4%","16.783","198.266","8,5%","25.258","446.083","5,7%","1.725","89.180","1,9%","31","25.106","0,1%","282.947","1.132.764","25,0%","2021-05-25T22:00:00.000Z"
"Aragón","97.911","98.807","99,1%","109.092","156.367","91,7%","35.081","22,4%","17.400","198.266","8,8%","25.761","446.083","5,8%","1.770","89.180","2,0%","33","25.106","0,1%","287.048","1.132.764","25,3%","2021-05-26T22:00:00.000Z"
"Aragón","98.000","98.807","99,2%","110.085","156.367","92,5%","36.382","23,3%","18.369","198.266","9,3%","26.198","446.083","5,9%","1.806","89.180","2,0%","35","25.106","0,1%","290.875","1.132.764","25,7%","2021-05-27T22:00:00.000Z"
"Aragón","98.080","98.807","99,3%","110.739","156.367","93,1%","37.351","23,9%","20.044","198.266","10,1%","27.129","446.083","6,1%","1.908","89.180","2,1%","35","25.106","0,1%","295.286","1.132.764","26,1%","2021-05-30T22:00:00.000Z"
"Aragón","98.103","98.807","99,3%","110.798","156.367","93,1%","37.479","24,0%","20.315","198.266","10,2%","27.702","446.083","6,2%","2.212","89.180","2,5%","36","25.106","0,1%","296.645","1.132.764","26,2%","2021-05-31T22:00:00.000Z"
"Aragón","98.117","98.807","99,3%","110.932","156.367","93,3%","37.704","24,1%","20.854","198.266","10,5%","28.120","446.083","6,3%","2.242","89.180","2,5%","36","25.106","0,1%","298.005","1.132.764","26,3%","2021-06-01T22:00:00.000Z"
"Aragón","98.163","98.807","99,3%","111.562","156.367","93,8%","38.490","24,6%","23.017","198.266","11,6%","28.937","446.083","6,5%","2.556","89.180","2,9%","41","25.106","0,2%","302.766","1.132.764","26,7%","2021-06-02T22:00:00.000Z"
"Aragón","100.447","100,0%","117.238","98,6%","73,3%","91,3%","145.329","37.308","17,4%","32.061","13,9%","6.983","7,8%","65","0,3%","582.195","1.132.764","51,4%",,,,,,"2021-06-03T22:00:00.000Z"
"Asturias","37.353","87.826","42,5%","3.490","149.652","3,2%","9.709","6,5%","13.411","162.645","8,2%","20.796","322.095","6,5%","2.310","54.179","4,3%","24","15.563","0,2%","87.093","901.209","9,7%","2021-03-30T22:00:00.000Z"
"Asturias","39.438","87.826","44,9%","3.575","149.652","3,3%","9.848","6,6%","13.510","162.645","8,3%","20.890","322.095","6,5%","2.318","54.179","4,3%","25","15.563","0,2%","89.604","901.209","9,9%","2021-03-31T22:00:00.000Z"
"Asturias","41.397","87.826","47,1%","3.593","149.652","3,3%","9.868","6,6%","13.538","162.645","8,3%","20.911","322.095","6,5%","2.323","54.179","4,3%","25","15.563","0,2%","91.655","901.209","10,2%","2021-04-02T22:00:00.000Z"
"Asturias","42.525","87.826","48,4%","3.594","149.652","3,3%","9.870","6,6%","13.542","162.645","8,3%","20.914","322.095","6,5%","2.324","54.179","4,3%","25","15.563","0,2%","92.794","901.209","10,3%","2021-04-04T22:00:00.000Z"
"Asturias","43.015","87.826","49,0%","3.610","149.652","3,3%","9.907","6,6%","13.574","162.645","8,3%","20.970","322.095","6,5%","2.327","54.179","4,3%","25","15.563","0,2%","93.428","901.209","10,4%","2021-04-05T22:00:00.000Z"
"Asturias","44.085","87.826","50,2%","3.644","149.652","3,3%","9.971","6,7%","13.634","162.645","8,4%","21.079","322.095","6,5%","2.340","54.179","4,3%","25","15.563","0,2%","94.778","901.209","10,5%","2021-04-06T22:00:00.000Z"
"Asturias","44.333","87.826","50,5%","3.653","149.652","3,3%","9.987","6,7%","13.651","162.645","8,4%","21.091","322.095","6,5%","2.341","54.179","4,3%","25","15.563","0,2%","95.081","901.209","10,6%","2021-04-07T22:00:00.000Z"
"Asturias","44.913","87.826","51,1%","3.685","149.652","3,4%","10.030","6,7%","13.677","162.645","8,4%","21.122","322.095","6,6%","2.347","54.179","4,3%","25","15.563","0,2%","95.799","901.209","10,6%","2021-04-08T22:00:00.000Z"
"Asturias","46.107","87.826","52,5%","3.729","149.652","3,4%","10.102","6,8%","13.720","162.645","8,4%","21.181","322.095","6,6%","2.359","54.179","4,4%","25","15.563","0,2%","97.223","901.209","10,8%","2021-04-11T22:00:00.000Z"
"Asturias","46.730","87.826","53,2%","3.773","149.652","3,5%","10.219","6,8%","13.799","162.645","8,5%","21.354","322.095","6,6%","2.392","54.179","4,4%","26","15.563","0,2%","98.293","901.209","10,9%","2021-04-12T22:00:00.000Z"
"Asturias","49.008","87.826","55,8%","3.839","149.652","3,5%","10.334","6,9%","13.921","162.645","8,6%","21.484","322.095","6,7%","2.400","54.179","4,4%","27","15.563","0,2%","101.013","901.209","11,2%","2021-04-13T22:00:00.000Z"
"Asturias","52.598","87.826","59,9%","3.881","149.652","3,6%","10.389","6,9%","13.963","162.645","8,6%","21.559","322.095","6,7%","2.407","54.179","4,4%","28","15.563","0,2%","104.825","901.209","11,6%","2021-04-14T22:00:00.000Z"
"Asturias","56.766","87.826","64,6%","3.955","149.652","3,6%","10.523","7,0%","14.067","162.645","8,6%","21.701","322.095","6,7%","2.418","54.179","4,5%","28","15.563","0,2%","109.458","901.209","12,1%","2021-04-15T22:00:00.000Z"
